aback ad.向后地,朝后地
alienate vt.使疏远,离间,让与
alienation n.疏远,离间,割让
alight vi.落下,偶然发现a.点着的
align vi.排列,排成一行,结盟vt.使结盟
alike a.相似的,同样的ad.一样,以同样的方式
allege vt.宣称,申述,主张,断言
allegiance n.忠贞,效忠
allegory n.寓言
allergy n.敏感症,反感,厌恶
alleviate vt.减轻,使缓和
alley n.小路,巷
alliance n.联盟,联合
allocate vt.分派,分配
allotment n.分配,配给的土地,命运
allowance n.津贴,零用钱允许vt.定量供应
alloy n.合金vt.使成合金vi.合铸
all-pervasive a.全能的
allude vi.暗示,提及
allure vt.引诱,吸引n.魅力,诱惑力
allusion n.提及,暗示
ally n.盟友,同盟国vt.联盟,联合vi.结盟
almanac n.年鉴,历书
alms n.捐献,救济金,救济品
aloof a.疏远的,冷淡的ad.远离,离开
alp n.高山
altar n.神坛,祭坛
alter v.改变
alteration n.变更,改造
alternate a.交互的,轮流的v.轮流,(使)交替
alternation n.交互,轮流,隔一个
alternative n.二中择一,变通办法a.二中择一的,选择性的
alternatively ad.二者择一地,做为选择
altruism n.利他主义,利他
altruistic a.利他的,无私心的
aluminum n.铝
alumnus n.男毕业生,男校友
amalgam n.汞合金,汞齐
amalgamate v.使与汞混合,合并
amalgamation n.与汞混合,融合,合并
amass vt.收集,积聚
amateur n.业余技艺家,爱好者
amateurish a.业余的,非专门的,不熟练的
amaze vt.使吃惊
amazement n.惊愕,惊异
ambassador n.大使
ambiance n.环境;气氛(ambience)
ambidextrous a.两手俱利的,怀有二心的
ambiguity n.不明确,含糊,暧昧
ambiguous a.暧昧的,不明确的
ambition n.野心,志气
ambitious a.有野心的,抱负不凡的,雄心勃勃的
ambivalence n.正反感情并存
ambivalent a.矛盾的,好恶相克的
ambush n.埋伏,伏兵,伏击vt.埋伏,伏击vi.埋伏
ameliorate vt.改善,改良,变好
amend vt.修正,改善,改良vi.改过自新
amendment n.改善,改良,改正
amenity n.适意,温和,礼仪
amiable a.亲切的,和蔼可亲的
amicability n.友善,亲善
amicable a.友善的,和平的
amid prep.在其间,在其中
amidst prep.在...当中
amino adj.[化学]氨基的
amnesia n.健忘症,记忆缺失
amnesty n.大赦,特赦
amorphous a.无定形的,无组织的
amount n.数量,总额vi.总计,等于
amphibian a.两栖类的,水陆两用的n.两栖动物,水陆两用飞机
amphitheater n.圆形剧场,斗技场,似圆形剧场的处所
ample a.充足的,丰富的
amplification a.扩大的,充足的,丰富的
amplify vt.扩大,详述,使增幅vi.引伸
amputate vt.切断,删除
amputation n.切断,切断手术
amulet n.护身符
amuse vt.消遣,娱乐,使发笑
anachronism n.时代错误,不合潮流的人(物)
anachronistic a.时代错误的
analogous a.类似的,相似的
analogy n.相似,类似
analysis n.分析
analyst n.分析家,分解者,分析者
analytical a.分析的,解析的
analyze vt.分析,分解
anarchism n.无政府主义
anarchist n.无政府主义者
anarchistic a.无政府主义的
anarchy n.无政府状态,混乱
anatomist n.解剖学家
anatomy n.剖析,解剖学,骨骸
ancestor n.祖先,祖宗
ancestral a.祖先的,祖传的
ancillary a.补助的,副的
anecdotal a.逸话的,多逸事趣闻的,轶事一样的
anecdote n.轶事,奇闻
anemic a.贫血的,患贫血症的
anesthesia n.麻醉,麻痹
anew ad.重新,再
angelic a.天使的,似天使的
animate vt.使有生气,赋予生命a.有生命的
animosity n.仇恨,憎恶,敌意
annihilate vt.消灭,废止
annihilation n.歼灭,灭绝
anniversary n.周年纪念
annotate v.注解,注释
announcer n.广播员,告知者
annoy vt.使苦恼,骚扰
annoyance n.烦恼,可厌之事
annually ad.一年一次,每年
anomalous a.不规则的,反常的
anomaly n.不规则,异常的人或物
anonymity n.匿名,笔者不明
anonymous a.作者不详的,佚名的,无名的n.无记录
antagonism n.反对,敌对,敌意
antagonist n.敌手,对手
antagonistic a.反对的,敌对的
antagonize vt.使成敌人,敌对,反对vi.引起反抗
antarctic a.南极的,南极地带的n.南极圈
antecedent n.前情,先行词a.在前的,居先的
antenna n.天线,触须,触角
anthem n.圣歌,赞美诗
anthill n.蚁丘,蚂蚁的塔,人群密集的地方
anthology n.诗选,文选
anthropocentrism n.人类中心论
anthropological a.人类学的,人类学上的
anthropologist n.人类学家
anthropology n.人类学
antibiotic n.抗生素a.抗生的
antibody n.抗体
antic n.滑稽动作a.小丑的
anticipate vt.预期,占先,提前使用
anticipation n.预期,预料
anticipatory adj.1预想,预期的2占先的,先发制人的
anticlimax n.渐降法,虎头蛇尾
anticoagulant n.抗凝固剂
antidote n.解毒剂,解药
antigravity n.无重量
antimatter n.反物质
antimony n.锑
antipathy n.憎恶,反感
antipode n.正相反的事物
antiquarian n.古物研究者,收集古物者a.古物研究者
antiquate vt.使古旧,废弃
antique n.古董,古物a.旧式的,过时的
antiquity n.古老,古代,古代的遗物
antiseptic n.杀菌剂,防腐剂a.杀菌的,防腐的
antislavery n.反对奴隶制度a.反对奴隶制度的
antisocial a.非社交的,不擅社交的,反社会的
antithesis n.对照,正相反,对比法
anxiety n.焦虑,忧虑,焦虑的事
anxious a.忧虑的,热心的,渴望的
anxiously ad.忧虑地,不安地
apart ad.分别地,分开的
apartheid n.种族隔离
apathetic a.缺乏感情的,缺乏兴趣的,无动于衷的
apathy n.缺乏感情或兴趣,冷漠
ape n.猿
apex n.顶,峰,绝顶
aphorism n.格言,警语
apiece ad.每人,每个,各
aplenty a.丰富的ad.丰富地
aplomb n.沉着,泰然自若,垂直
apocalypse n.启示,天启
apolitical a.不关心政治的
apologetic a.道歉的,认错的,辩护的
apologist n.辩护者,辩证者,护教论者
appall vt.使胆寒,使惊骇
apparatus n.装置,器具,器官
apparel n.衣服,装具vt.使穿衣,装饰
apparent a.显然的,外观上的
